,Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),sample
500,4.90000,602.35681,0.06009,0.81662,29.36621,2-3
501,5.00000,612.88647,0.06132,0.83337,29.87956,2-3
502,5.10000,623.25000,0.06255,0.85006,30.38480,2-3
503,5.20000,633.59497,0.06377,0.86662,30.88914,2-3
504,5.30000,643.69159,0.06500,0.88337,31.38137,2-3
505,5.40000,653.02771,0.06622,0.89994,31.83653,2-3
506,5.50000,662.19379,0.06745,0.91669,32.28340,2-3
507,5.60000,670.94037,0.06868,0.93337,32.70981,2-3
508,5.70000,679.40210,0.06990,0.94987,33.12234,2-3
509,5.80000,687.27148,0.07113,0.96669,33.50599,2-3
510,5.90000,695.01379,0.07235,0.98319,33.88344,2-3
511,6.00000,702.23578,0.07358,1.00000,34.23553,2-3
512,6.10000,709.49243,0.07482,1.01675,34.58931,2-3
513,6.20000,715.79559,0.07603,1.03331,34.89660,2-3
514,6.30000,722.08405,0.07727,1.05012,35.20318,2-3
515,6.40000,727.92078,0.07849,1.06662,35.48773,2-3
516,6.50000,733.06409,0.07972,1.08337,35.73848,2-3
517,6.60000,738.14905,0.08095,1.10006,35.98638,2-3
518,6.70000,742.76074,0.08217,1.11669,36.21121,2-3
519,6.80000,746.73389,0.08340,1.13337,36.40491,2-3
520,6.90000,750.28516,0.08462,1.15000,36.57804,2-3
521,7.00000,753.49493,0.08584,1.16662,36.73453,2-3
522,7.10000,755.61682,0.08707,1.18331,36.83797,2-3
523,7.20000,757.17194,0.08830,1.19994,36.91379,2-3
524,7.30000,757.60327,0.08953,1.21669,36.93482,2-3
525,7.40000,757.85138,0.09075,1.23325,36.94691,2-3
526,7.50000,757.07471,0.09198,1.25000,36.90905,2-3
527,7.60000,755.11414,0.09321,1.26675,36.81347,2-3
528,7.70000,752.37494,0.09444,1.28337,36.67992,2-3
529,7.80000,748.50806,0.09566,1.30006,36.49141,2-3
530,7.90000,743.40619,0.09688,1.31662,36.24268,2-3
531,8.00000,737.37201,0.09811,1.33337,35.94850,2-3
532,8.10000,729.57629,0.09934,1.35006,35.56844,2-3
533,8.20000,721.40369,0.10056,1.36662,35.17001,2-3
534,8.30000,711.78217,0.10180,1.38344,34.70094,2-3
535,8.40000,701.41095,0.10301,1.39994,34.19532,2-3
536,8.50000,690.11481,0.10424,1.41669,33.64461,2-3
537,8.60000,678.94556,0.10547,1.43337,33.10008,2-3
538,8.70000,667.39984,0.10670,1.45000,32.53720,2-3
539,8.80000,656.86719,0.10793,1.46675,32.02371,2-3
540,8.90000,645.98352,0.10914,1.48325,31.49311,2-3
541,9.00000,636.44421,0.11038,1.50006,31.02805,2-3
542,9.10000,627.14337,0.11160,1.51669,30.57461,2-3
543,9.20000,618.27130,0.11283,1.53331,30.14208,2-3
544,9.30000,609.90594,0.11406,1.55006,29.73425,2-3
545,9.40000,601.40784,0.11528,1.56662,29.31995,2-3
546,9.50000,592.72803,0.11651,1.58331,28.89679,2-3
547,9.60000,583.41895,0.11773,1.60000,28.44295,2-3
548,9.70000,572.65375,0.11897,1.61675,27.91812,2-3
549,9.80000,559.92853,0.12019,1.63344,27.29774,2-3
550,9.90000,544.67749,0.12141,1.65000,26.55422,2-3
551,10.00000,525.58484,0.12264,1.66669,25.62341,2-3
552,10.10000,502.16843,0.12387,1.68337,24.48181,2-3
553,10.20000,470.34348,0.12509,1.70000,22.93027,2-3
554,10.24000,454.22064,0.12558,1.70669,22.14425,2-3
