Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),Sample,Mix
14.8,358.81793,0.16445,2.46675,35.39685,2,2
14.9,358.45059,0.16555,2.48325,35.36062,2,2
15,358.14816,0.16667,2.5,35.33078,2,2
15.1,358.13879,0.16779,2.51681,35.32986,2,2
15.2,357.8219,0.16888,2.53325,35.2986,2,2
15.3,357.34259,0.17,2.54994,35.25132,2,2
15.4,357.37299,0.17112,2.56675,35.25431,2,2
15.5,357.28802,0.17222,2.58331,35.24593,2,2
15.6,357.03146,0.17334,2.60006,35.22062,2,2
15.7,356.814,0.17444,2.61656,35.19917,2,2
15.8,356.57672,0.17556,2.63337,35.17576,2,2
15.9,356.48349,0.17668,2.65019,35.16656,2,2
16,356.20538,0.17777,2.6665,35.13913,2,2
16.1,355.94867,0.17888,2.68319,35.11381,2,2
16.2,355.88715,0.18001,2.70012,35.10774,2,2
16.3,355.75842,0.1811,2.71656,35.09504,2,2
16.4,355.61142,0.18222,2.73337,35.08054,2,2
16.5,355.31317,0.18332,2.74987,35.05112,2,2
16.6,355.19946,0.18445,2.76669,35.0399,2,2
16.7,355.30099,0.18555,2.78331,35.04992,2,2
16.8,355.23471,0.18665,2.79981,35.04338,2,2
16.9,355.06549,0.18778,2.81675,35.02668,2,2
17,355.15912,0.1889,2.8335,35.03592,2,2
17.1,355.00958,0.19,2.84994,35.02117,2,2
17.2,354.93845,0.19111,2.86662,35.01415,2,2
17.3,354.7728,0.19222,2.88337,34.99781,2,2
17.4,354.65131,0.19334,2.90006,34.98582,2,2
17.5,354.53952,0.19445,2.91669,34.9748,2,2
17.6,354.35544,0.19555,2.93319,34.95664,2,2
17.7,354.4017,0.19667,2.95012,34.9612,2,2
17.8,354.3812,0.19778,2.96675,34.95918,2,2
17.9,354.08203,0.19888,2.98319,34.92966,2,2
18,354.18552,0.2,3,34.93988,2,2
18.1,354.30933,0.20112,3.01675,34.95209,2,2
18.2,354.32388,0.20222,3.03331,34.95353,2,2
18.3,354.31772,0.20333,3.05,34.95292,2,2
18.4,354.11469,0.20444,3.06662,34.93289,2,2
18.5,354.20459,0.20556,3.08344,34.94176,2,2
18.6,354.40112,0.20667,3.10012,34.96114,2,2
18.7,354.14804,0.20777,3.1165,34.93618,2,2
18.8,354.0054,0.2089,3.13344,34.92211,2,2
18.9,354.30981,0.21,3.15006,34.95214,2,2
19,354.09338,0.2111,3.16656,34.93079,2,2
19.1,354.21976,0.21222,3.18325,34.94325,2,2
19.2,354.29492,0.21333,3.2,34.95067,2,2
19.3,354.26031,0.21445,3.21669,34.94725,2,2
19.4,354.25177,0.21556,3.23344,34.94641,2,2
19.5,354.11594,0.21666,3.24987,34.93301,2,2
19.6,354.35608,0.21778,3.26675,34.9567,2,2
19.7,354.71552,0.21889,3.28337,34.99216,2,2
19.8,354.44391,0.21999,3.29987,34.96537,2,2
19.9,354.47903,0.22112,3.31681,34.96883,2,2
20,354.78391,0.22222,3.33331,34.99891,2,2
20.1,354.55096,0.22334,3.35006,34.97593,2,2
20.2,354.67593,0.22444,3.36662,34.98825,2,2
20.3,354.79019,0.22555,3.38325,34.99953,2,2
20.4,354.72858,0.22667,3.40012,34.99345,2,2
20.5,354.64011,0.22777,3.41656,34.98472,2,2
20.6,354.5957,0.22888,3.43319,34.98034,2,2
20.7,354.95486,0.23001,3.45019,35.01577,2,2
20.8,355.0546,0.23111,3.46669,35.02561,2,2
20.9,355.23776,0.23222,3.48331,35.04368,2,2
21,355.25262,0.23333,3.5,35.04514,2,2
21.1,355.27579,0.23445,3.51669,35.04743,2,2
21.2,355.54224,0.23556,3.53337,35.07372,2,2
21.3,355.48022,0.23666,3.54994,35.0676,2,2
21.4,355.60043,0.23778,3.56669,35.07946,2,2
21.5,355.79944,0.2389,3.58344,35.09909,2,2
21.6,355.95145,0.24,3.6,35.11408,2,2
21.7,355.6413,0.2411,3.61656,35.08348,2,2
21.8,356.09085,0.24222,3.63337,35.12783,2,2
21.9,355.95712,0.24334,3.65006,35.11464,2,2
22,356.16428,0.24445,3.66669,35.13508,2,2
22.1,356.20453,0.24555,3.68325,35.13905,2,2
22.2,356.32016,0.24667,3.7,35.15046,2,2
22.3,356.52975,0.24779,3.71681,35.17113,2,2
22.4,356.4035,0.24888,3.73325,35.15868,2,2
22.5,356.61993,0.25,3.74994,35.18003,2,2
22.6,356.85858,0.25112,3.76681,35.20357,2,2
22.7,356.96448,0.25222,3.78325,35.21402,2,2
22.8,357.05511,0.25333,3.79994,35.22296,2,2
22.9,357.18408,0.25445,3.81675,35.23568,2,2
23,357.18613,0.25555,3.83331,35.23588,2,2
23.1,357.39673,0.25667,3.85006,35.25666,2,2
23.2,357.34622,0.25777,3.86656,35.25167,2,2
23.3,357.51184,0.25889,3.88331,35.26801,2,2
23.4,357.67212,0.26001,3.90012,35.28382,2,2
23.5,357.65292,0.2611,3.91656,35.28193,2,2
23.6,357.75143,0.26221,3.93319,35.29165,2,2
23.7,357.83633,0.26334,3.95012,35.30002,2,2
23.8,357.59247,0.26445,3.96669,35.27597,2,2
23.9,357.08133,0.26555,3.98331,35.22554,2,2
23.94,259.44031,0.266,3.98994,25.5934,2,2
0,1.12807,0.00015,0.00225,0.11753,1,2
0.1,11.51375,0.00157,0.0235,1.19961,1,2
0.2,22.12353,0.00271,0.04062,2.30504,1,2
0.3,32.32849,0.00383,0.0575,3.36829,1,2
0.4,42.56328,0.00496,0.07437,4.43465,1,2
0.5,52.61452,0.00607,0.09106,5.48188,1,2
0.6,62.8707,0.00717,0.10762,6.55046,1,2
0.7,72.98702,0.00829,0.12431,7.60448,1,2
0.8,82.90527,0.0094,0.14106,8.63786,1,2
0.9,92.67941,0.01051,0.15762,9.65622,1,2
1,102.30136,0.01161,0.17419,10.65872,1,2
1.1,111.78121,0.01273,0.19094,11.64642,1,2
1.2,121.44774,0.01385,0.20775,12.65357,1,2
1.3,130.98102,0.01496,0.22437,13.64684,1,2
1.4,140.28746,0.01605,0.24075,14.61647,1,2
1.5,149.53484,0.01718,0.25769,15.57995,1,2
1.6,158.66304,0.01829,0.27437,16.53102,1,2
1.7,167.75116,0.0194,0.291,17.4779,1,2
1.8,176.74176,0.0205,0.3075,18.41463,1,2
1.9,185.30188,0.02162,0.32437,19.3065,1,2
2,194.16316,0.02274,0.34106,20.22975,1,2
2.1,202.70074,0.02384,0.35762,21.11928,1,2
2.2,211.17206,0.02495,0.37431,22.0019,1,2
2.3,201.01187,0.02607,0.39106,20.94332,1,2
2.4,210.75737,0.02717,0.40762,21.95869,1,2
2.5,219.75769,0.02829,0.42431,22.89643,1,2
2.6,228.28493,0.0294,0.441,23.78488,1,2
2.7,236.84341,0.03052,0.45775,24.67659,1,2
2.8,245.09648,0.03162,0.47437,25.53647,1,2
2.9,253.13699,0.03273,0.49094,26.3742,1,2
3,261.15976,0.03385,0.50775,27.21009,1,2
3.1,268.91058,0.03496,0.52437,28.01765,1,2
3.2,276.5199,0.03607,0.54106,28.81046,1,2
3.3,283.90012,0.03717,0.5575,29.5794,1,2
3.4,291.38928,0.03829,0.57437,30.35969,1,2
3.5,298.68289,0.03941,0.59112,31.11961,1,2
3.6,305.57932,0.0405,0.60756,31.83814,1,2
3.7,312.54779,0.04162,0.62431,32.56418,1,2
3.8,319.13342,0.04274,0.64106,33.25034,1,2
3.9,325.65823,0.04384,0.65762,33.93015,1,2
4,332.0007,0.04495,0.67431,34.59097,1,2
4.1,338.27243,0.04606,0.69094,35.24442,1,2
4.2,344.44196,0.04718,0.70775,35.88722,1,2
4.3,350.44882,0.04829,0.72437,36.51307,1,2
4.4,356.08057,0.04939,0.74081,37.09984,1,2
4.5,361.52222,0.05052,0.75775,37.6668,1,2
4.6,367.0755,0.05163,0.77444,38.2454,1,2
4.7,371.92569,0.05273,0.79094,38.75074,1,2
4.8,377.18317,0.05384,0.80756,39.29851,1,2
4.9,382.0632,0.05496,0.82444,39.80696,1,2
5,386.42825,0.05607,0.84112,40.26175,1,2
5.1,390.51285,0.05717,0.85762,40.68732,1,2
5.2,394.81763,0.05828,0.87425,41.13583,1,2
5.3,398.59024,0.05941,0.89112,41.5289,1,2
5.4,402.31693,0.06051,0.90769,41.91718,1,2
5.5,405.41022,0.06162,0.92425,42.23947,1,2
5.6,408.66156,0.06273,0.941,42.57822,1,2
5.7,411.45566,0.06385,0.95781,42.86934,1,2
5.8,413.92007,0.06496,0.97437,43.12611,1,2
5.9,416.25272,0.06606,0.99087,43.36914,1,2
6,418.15262,0.06718,1.00769,43.56709,1,2
6.1,419.93262,0.0683,1.02444,43.75255,1,2
6.2,421.23776,0.0694,1.04106,43.88853,1,2
6.3,422.15967,0.0705,1.0575,43.98458,1,2
6.4,422.84521,0.07163,1.07444,44.05601,1,2
6.5,423.09518,0.07274,1.09106,44.08206,1,2
6.6,423.08063,0.07383,1.1075,44.08054,1,2
6.7,422.95322,0.07495,1.12431,44.06726,1,2
6.8,422.33713,0.07607,1.14112,44.00307,1,2
6.9,421.43362,0.07717,1.15762,43.90894,1,2
7,420.05209,0.07829,1.17431,43.765,1,2
7.1,418.66229,0.07939,1.19087,43.6202,1,2
7.2,417.1582,0.08052,1.20781,43.46349,1,2
7.3,414.99512,0.08162,1.22437,43.23811,1,2
7.4,413.12173,0.08272,1.24087,43.04293,1,2
7.5,410.63464,0.08385,1.25781,42.7838,1,2
7.6,408.3884,0.08496,1.27437,42.54976,1,2
7.7,405.78461,0.08606,1.29094,42.27848,1,2
7.8,403.32886,0.08717,1.30756,42.02261,1,2
7.9,400.80487,0.08829,1.32431,41.75964,1,2
8,398.25513,0.08941,1.34112,41.49398,1,2
8.1,395.27505,0.09051,1.35762,41.18349,1,2
8.2,392.39066,0.09162,1.37425,40.88297,1,2
8.3,390.10007,0.09274,1.39112,40.64431,1,2
8.4,387.56131,0.09384,1.40762,40.3798,1,2
8.5,385.01248,0.09495,1.42425,40.11424,1,2
8.6,382.63168,0.09607,1.44106,39.86618,1,2
8.7,380.55429,0.09718,1.45769,39.64974,1,2
8.8,378.45834,0.0983,1.47444,39.43137,1,2
8.9,376.1879,0.0994,1.49094,39.19481,1,2
9,374.21149,0.10051,1.50762,38.98889,1,2
9.1,372.57654,0.10163,1.52444,38.81855,1,2
9.2,370.34558,0.10273,1.54094,38.58611,1,2
9.3,368.58688,0.10383,1.5575,38.40287,1,2
9.4,367.07703,0.10496,1.57444,38.24556,1,2
9.5,365.2467,0.10607,1.591,38.05486,1,2
9.6,363.82758,0.10717,1.60756,37.907,1,2
9.7,362.01624,0.10829,1.62437,37.71827,1,2
9.8,360.54886,0.1094,1.64106,37.56539,1,2
9.9,352.10947,0.11052,1.65775,36.68609,1,2
9.916,236.69992,0.1107,1.6605,24.66164,1,2
0,1.31846,0.00031,0.00462,0.11784,1,1
0.1,20.78802,0.00176,0.02644,1.8579,1,1
0.2,38.1772,0.0029,0.04344,3.41203,1,1
0.3,54.16115,0.00402,0.06025,4.84057,1,1
0.4,69.8774,0.00513,0.077,6.24519,1,1
0.5,85.68314,0.00625,0.09375,7.6578,1,1
0.6,101.22495,0.00736,0.11037,9.04683,1,1
0.7,116.62086,0.00846,0.12694,10.42281,1,1
0.8,131.96512,0.00958,0.14375,11.79418,1,1
0.9,147.38057,0.01069,0.16037,13.17192,1,1
1,162.39703,0.0118,0.17694,14.51399,1,1
1.1,176.86313,0.01291,0.19362,15.80688,1,1
1.2,191.80629,0.01403,0.21044,17.1424,1,1
1.3,206.27762,0.01513,0.22694,18.43575,1,1
1.4,220.66052,0.01623,0.2435,19.7212,1,1
1.5,234.91554,0.01735,0.26031,20.99522,1,1
1.6,248.85875,0.01847,0.27706,22.24137,1,1
1.7,262.60916,0.01957,0.29362,23.4703,1,1
1.8,257.72577,0.02068,0.31019,23.03385,1,1
1.9,269.15308,0.0218,0.327,24.05515,1,1
2,282.90146,0.02292,0.34375,25.28389,1,1
2.1,296.93781,0.02402,0.36031,26.53837,1,1
2.2,310.20264,0.02512,0.37681,27.72389,1,1
2.3,323.55936,0.02625,0.39375,28.91763,1,1
2.4,336.50958,0.02735,0.41031,30.07504,1,1
2.5,349.12732,0.02846,0.42687,31.20273,1,1
2.6,361.59332,0.02957,0.44362,32.31686,1,1
2.7,373.95645,0.03069,0.46037,33.42179,1,1
2.8,386.26361,0.0318,0.477,34.52173,1,1
2.9,398.08246,0.0329,0.49356,35.57802,1,1
3,409.87701,0.03402,0.51031,36.63214,1,1
3.1,421.20731,0.03514,0.52706,37.64477,1,1
3.2,432.78983,0.03625,0.54369,38.67994,1,1
3.3,443.43149,0.03735,0.56025,39.63102,1,1
3.4,454.25934,0.03846,0.57694,40.59874,1,1
3.5,465.23331,0.03959,0.59381,41.57952,1,1
3.6,475.28363,0.04068,0.61025,42.47776,1,1
3.7,485.51196,0.04179,0.62681,43.3919,1,1
3.8,495.49402,0.04292,0.64381,44.28403,1,1
3.9,505.17175,0.04402,0.66031,45.14896,1,1
4,514.34924,0.04513,0.67694,45.96919,1,1
4.1,523.63049,0.04624,0.69356,46.79868,1,1
4.2,532.78723,0.04736,0.71037,47.61705,1,1
4.3,541.38013,0.04847,0.72712,48.38503,1,1
4.4,549.68475,0.04957,0.74356,49.12725,1,1
4.5,557.59729,0.0507,0.76044,49.83442,1,1
4.6,565.39691,0.05181,0.77712,50.53149,1,1
4.7,572.93585,0.05291,0.79369,51.20528,1,1
4.8,580.01019,0.05402,0.81025,51.83754,1,1
4.9,586.97101,0.05513,0.82694,52.45965,1,1
5,593.60126,0.05625,0.84375,53.05222,1,1
5.1,600.02179,0.05735,0.86031,53.62604,1,1
5.2,606.04675,0.05845,0.87681,54.16451,1,1
5.3,611.828,0.05959,0.89381,54.68121,1,1
5.4,617.11041,0.06069,0.91037,55.15331,1,1
5.5,622.32806,0.0618,0.92694,55.61963,1,1
5.6,627.16425,0.06291,0.94369,56.05186,1,1
5.7,631.70349,0.06402,0.96037,56.45755,1,1
5.8,636.16998,0.06514,0.97706,56.85673,1,1
5.9,639.70575,0.06624,0.99362,57.17274,1,1
6,643.16913,0.06735,1.01031,57.48227,1,1
6.1,646.48395,0.06847,1.02712,57.77853,1,1
6.2,649.37695,0.06958,1.04369,58.03709,1,1
6.3,651.9649,0.07068,1.06019,58.26838,1,1
6.4,654.42023,0.0718,1.07706,58.48782,1,1
6.5,656.19568,0.07291,1.09369,58.6465,1,1
6.6,657.89166,0.07402,1.11031,58.79807,1,1
6.7,659.10229,0.07512,1.12687,58.90627,1,1
6.8,659.95453,0.07625,1.14369,58.98244,1,1
6.9,660.55426,0.07736,1.16044,59.03604,1,1
7,660.79089,0.07846,1.17694,59.05719,1,1
7.1,660.55011,0.07957,1.19362,59.03567,1,1
7.2,660.28009,0.0807,1.21044,59.01154,1,1
7.3,659.3634,0.0818,1.227,58.92961,1,1
7.4,658.15265,0.0829,1.24356,58.8214,1,1
7.5,656.9389,0.08402,1.26037,58.71292,1,1
7.6,654.64929,0.08514,1.27706,58.50829,1,1
7.7,652.21417,0.08625,1.29375,58.29066,1,1
7.8,649.72327,0.08735,1.31031,58.06804,1,1
7.9,646.75116,0.08847,1.327,57.80241,1,1
8,643.09601,0.08959,1.34381,57.47573,1,1
8.1,639.47656,0.09069,1.36031,57.15225,1,1
8.2,635.49994,0.09179,1.37681,56.79685,1,1
8.3,491.08154,0.09292,1.39387,43.88967,1,1
8.306,392.50665,0.093,1.39494,35.07969,1,1
0,1.17805,0.00019,0.00287,0.10853,2,1
0.1,8.32128,0.00161,0.02419,0.76658,2,1
0.2,12.43475,0.00275,0.04131,1.14553,2,1
0.3,28.62568,0.00388,0.05819,2.6371,2,1
0.4,44.30292,0.005,0.075,4.08134,2,1
0.5,60.02262,0.00611,0.09169,5.52949,2,1
0.6,75.31099,0.00723,0.10844,6.93791,2,1
0.7,90.77457,0.00833,0.12494,8.36247,2,1
0.8,105.83643,0.00945,0.14169,9.75002,2,1
0.9,120.91101,0.01056,0.15837,11.13874,2,1
1,135.69191,0.01166,0.17494,12.50041,2,1
1.1,150.4281,0.01277,0.19156,13.85796,2,1
1.2,165.03319,0.01389,0.20837,15.20343,2,1
1.3,179.77815,0.015,0.225,16.56178,2,1
1.4,194.2677,0.0161,0.24156,17.89661,2,1
1.5,208.18349,0.01722,0.25831,19.17858,2,1
1.6,222.21364,0.01834,0.27506,20.47109,2,1
1.7,236.28485,0.01944,0.29162,21.76738,2,1
1.8,249.72224,0.02055,0.30819,23.00527,2,1
1.9,263.50284,0.02166,0.32494,24.27479,2,1
2,276.64673,0.02278,0.34169,25.48565,2,1
2.1,289.54391,0.02389,0.35837,26.67378,2,1
2.2,280.10989,0.02499,0.37487,25.80469,2,1
2.3,295.53763,0.02612,0.39175,27.22595,2,1
2.4,309.11664,0.02722,0.40837,28.47689,2,1
2.5,322.1416,0.02832,0.42487,29.6768,2,1
2.6,334.92697,0.02944,0.44162,30.85463,2,1
2.7,347.93765,0.03056,0.45844,32.05322,2,1
2.8,360.0463,0.03167,0.47506,33.1687,2,1
2.9,372.15121,0.03277,0.49162,34.28386,2,1
3,384.08957,0.03389,0.50831,35.38366,2,1
3.1,395.93961,0.035,0.52506,36.47532,2,1
3.2,407.53983,0.03611,0.54169,37.54398,2,1
3.3,418.9624,0.03722,0.55831,38.59626,2,1
3.4,429.93481,0.03833,0.57494,39.60708,2,1
3.5,441.10556,0.03945,0.59175,40.63617,2,1
3.6,451.8129,0.04055,0.60831,41.62256,2,1
3.7,462.00418,0.04165,0.62481,42.56142,2,1
3.8,472.66675,0.04279,0.64181,43.54369,2,1
3.9,482.83719,0.04389,0.65831,44.48063,2,1
4,492.60162,0.045,0.67494,45.38016,2,1
4.1,502.36313,0.0461,0.69156,46.27942,2,1
4.2,511.86319,0.04722,0.70837,47.1546,2,1
4.3,521.13263,0.04834,0.72512,48.00853,2,1
4.4,529.80103,0.04944,0.74156,48.8071,2,1
4.5,538.75922,0.05056,0.75837,49.63236,2,1
4.6,547.43018,0.05167,0.77512,50.43116,2,1
4.7,555.52069,0.05277,0.79162,51.17648,2,1
4.8,563.37158,0.05388,0.80825,51.89973,2,1
4.9,571.37695,0.055,0.825,52.63721,2,1
5,578.9884,0.05611,0.84169,53.33841,2,1
5.1,585.95703,0.05722,0.85837,53.98038,2,1
5.2,592.78668,0.05832,0.87481,54.60955,2,1
5.3,599.79919,0.05945,0.89175,55.25557,2,1
5.4,606.19714,0.06056,0.90837,55.84497,2,1
5.5,612.11267,0.06166,0.92487,56.38993,2,1
5.6,618.02393,0.06278,0.94169,56.93449,2,1
5.7,623.75348,0.06389,0.95837,57.46232,2,1
5.8,628.95703,0.065,0.97506,57.94169,2,1
5.9,633.94293,0.06611,0.99169,58.40101,2,1
6,638.90729,0.06722,1.00825,58.85834,2,1
6.1,643.38403,0.06834,1.02512,59.27076,2,1
6.2,647.61389,0.06945,1.04169,59.66043,2,1
6.3,651.3775,0.07055,1.05819,60.00714,2,1
6.4,655.23572,0.07167,1.07512,60.36258,2,1
6.5,658.57489,0.07278,1.09169,60.67019,2,1
6.6,661.65552,0.07389,1.10837,60.95399,2,1
6.7,664.77161,0.075,1.12494,61.24105,2,1
6.8,667.24512,0.07611,1.14169,61.46892,2,1
6.9,669.74487,0.07723,1.15844,61.69921,2,1
7,671.86304,0.07833,1.17494,61.89434,2,1
7.1,673.57404,0.07944,1.19156,62.05196,2,1
7.2,675.30792,0.08056,1.20837,62.2117,2,1
7.3,676.99139,0.08167,1.22506,62.36678,2,1
7.4,678.2486,0.08277,1.24156,62.4826,2,1
7.5,679.12036,0.08389,1.25837,62.56291,2,1
7.6,679.82751,0.08501,1.27512,62.62806,2,1
7.7,680.35236,0.08611,1.29169,62.67641,2,1
7.8,680.52051,0.08722,1.30831,62.6919,2,1
7.9,680.93024,0.08833,1.32494,62.72964,2,1
8,680.69708,0.08945,1.34181,62.70816,2,1
8.1,680.37122,0.09056,1.35837,62.67814,2,1
8.2,679.93573,0.09165,1.37481,62.63802,2,1
8.3,679.46014,0.09279,1.39181,62.59421,2,1
8.4,678.58337,0.09389,1.40831,62.51344,2,1
8.5,677.33203,0.095,1.42494,62.39816,2,1
8.6,676.35083,0.09611,1.44162,62.30777,2,1
8.7,675.00433,0.09722,1.45831,62.18373,2,1
8.8,673.65747,0.09834,1.47512,62.05965,2,1
8.9,671.8092,0.09945,1.49175,61.88938,2,1
9,669.95593,0.10055,1.50831,61.71865,2,1
9.1,668.32648,0.10168,1.52519,61.56854,2,1
9.2,666.07471,0.10277,1.54162,61.3611,2,1
9.3,663.92902,0.10388,1.55825,61.16343,2,1
9.4,661.84601,0.105,1.575,60.97154,2,1
9.5,659.10101,0.10611,1.59162,60.71866,2,1
9.6,656.75952,0.10722,1.60831,60.50295,2,1
9.7,654.11603,0.10832,1.62475,60.25943,2,1
9.8,651.80951,0.10945,1.64169,60.04694,2,1
9.9,649.27667,0.11056,1.65844,59.81361,2,1
10,646.44049,0.11166,1.67487,59.55233,2,1
10.1,643.57336,0.11277,1.69162,59.2882,2,1
10.2,641.02167,0.1139,1.7085,59.05313,2,1
10.3,638.08051,0.115,1.725,58.78218,2,1
10.4,635.39832,0.11611,1.74162,58.53508,2,1
10.5,632.34827,0.11722,1.75837,58.2541,2,1
10.6,629.56146,0.11833,1.775,57.99737,2,1
10.7,626.82141,0.11945,1.79175,57.74495,2,1
10.8,623.91425,0.12055,1.80825,57.47713,2,1
10.9,620.94818,0.12167,1.825,57.20389,2,1
11,618.23547,0.12278,1.84175,56.95398,2,1
11.1,615.3913,0.12388,1.85825,56.69197,2,1
11.2,612.46387,0.125,1.87494,56.42228,2,1
11.3,609.789,0.12612,1.89175,56.17587,2,1
11.4,607.33447,0.12722,1.90837,55.94975,2,1
11.5,604.63721,0.12834,1.92506,55.70126,2,1
11.6,601.78137,0.12944,1.94156,55.43818,2,1
11.7,599.42786,0.13056,1.95837,55.22136,2,1
11.8,596.85217,0.13167,1.97512,54.98408,2,1
11.9,594.3078,0.13277,1.9915,54.74968,2,1
12,591.9646,0.13389,2.00837,54.53382,2,1
12.1,589.77466,0.13501,2.02512,54.33208,2,1
12.2,587.44916,0.13611,2.04162,54.11784,2,1
12.3,585.10712,0.13722,2.05831,53.90208,2,1
12.4,582.95184,0.13833,2.07494,53.70353,2,1
12.5,580.96289,0.13945,2.09181,53.52031,2,1
12.6,578.62286,0.14056,2.10844,53.30473,2,1
12.7,576.67828,0.14165,2.12481,53.12559,2,1
12.8,575.01184,0.14279,2.14181,52.97207,2,1
12.9,573.36084,0.1439,2.15844,52.81998,2,1
13,571.48486,0.14499,2.17487,52.64716,2,1
13.1,569.90424,0.14611,2.19162,52.50154,2,1
13.2,568.18091,0.14722,2.20837,52.34278,2,1
13.3,567.04657,0.14833,2.225,52.23829,2,1
13.4,565.22534,0.14945,2.24169,52.07051,2,1
13.5,563.79694,0.15055,2.25819,51.93892,2,1
13.6,562.65723,0.15167,2.27506,51.83392,2,1
13.7,561.47748,0.15278,2.29175,51.72524,2,1
13.8,559.70087,0.15388,2.30819,51.56157,2,1
13.9,558.23645,0.15501,2.32512,51.42667,2,1
13.954,384.52661,0.15562,2.33425,35.42392,2,1
0,1.25071,0.00031,0.00462,0.11878,3,1
0.1,9.10544,0.00173,0.02594,0.86473,3,1
0.2,21.81321,0.00287,0.04306,2.07157,3,1
0.3,37.50548,0.00399,0.05987,3.56184,3,1
0.4,53.03725,0.00511,0.07669,5.03687,3,1
0.5,68.88273,0.00623,0.09344,6.54169,3,1
0.6,84.44028,0.00734,0.11006,8.01917,3,1
0.7,99.2784,0.00844,0.12656,9.42833,3,1
0.8,114.72177,0.00956,0.14337,10.89496,3,1
0.9,130.0098,0.01067,0.16006,12.34684,3,1
1,144.7675,0.01177,0.17662,13.74836,3,1
1.1,159.67055,0.01288,0.19325,15.16368,3,1
1.2,174.51689,0.014,0.21006,16.57362,3,1
1.3,189.11894,0.01511,0.22669,17.96035,3,1
1.4,203.3903,0.01621,0.24319,19.31569,3,1
1.5,217.64319,0.01733,0.26,20.66926,3,1
1.6,231.98726,0.01845,0.27669,22.0315,3,1
1.7,245.9073,0.01955,0.29331,23.35346,3,1
1.8,259.23788,0.02066,0.30987,24.61945,3,1
1.9,273.07895,0.02177,0.32662,25.93391,3,1
2,286.63675,0.02289,0.34337,27.22148,3,1
2.1,272.93091,0.024,0.35994,25.91986,3,1
2.2,287.39731,0.0251,0.3765,27.29371,3,1
2.3,301.53085,0.02623,0.39344,28.63595,3,1
2.4,315.23849,0.02734,0.41006,29.93775,3,1
2.5,328.41501,0.02844,0.42656,31.1891,3,1
2.6,341.20938,0.02955,0.44331,32.40416,3,1
2.7,353.90082,0.03067,0.46006,33.60945,3,1
2.8,366.48441,0.03178,0.47669,34.8045,3,1
2.9,378.57831,0.03288,0.49325,35.95304,3,1
3,390.76126,0.034,0.51,37.11003,3,1
3.1,402.5495,0.03512,0.52675,38.22955,3,1
3.2,414.10254,0.03622,0.54337,39.32672,3,1
3.3,425.46353,0.03733,0.55994,40.40566,3,1
3.4,436.81421,0.03844,0.57662,41.48362,3,1
3.5,447.54315,0.03956,0.59344,42.50253,3,1
3.6,458.34927,0.04066,0.60994,43.52877,3,1
3.7,468.54977,0.04177,0.6265,44.4975,3,1
3.8,478.56238,0.0429,0.64344,45.44838,3,1
3.9,488.94739,0.044,0.66,46.43463,3,1
4,498.49033,0.04511,0.67662,47.34091,3,1
4.1,507.80481,0.04622,0.69325,48.22549,3,1
4.2,517.20978,0.04734,0.71006,49.11867,3,1
4.3,526.0733,0.04845,0.72675,49.96043,3,1
4.4,534.67047,0.04955,0.74319,50.77689,3,1
4.5,543.28754,0.05067,0.76006,51.59524,3,1
4.6,551.75775,0.05178,0.77675,52.39964,3,1
4.7,559.19775,0.05289,0.79331,53.1062,3,1
4.8,566.87671,0.054,0.80994,53.83546,3,1
4.9,574.19373,0.05511,0.82662,54.53035,3,1
5,581.22296,0.05622,0.84337,55.19791,3,1
5.1,587.888,0.05733,0.86,55.83088,3,1
5.2,594.20697,0.05843,0.87644,56.43098,3,1
5.3,600.50708,0.05957,0.8935,57.02929,3,1
5.4,606.19641,0.06067,0.91006,57.5696,3,1
5.5,611.59796,0.06177,0.92656,58.08258,3,1
5.6,617.0097,0.06289,0.94331,58.59652,3,1
5.7,622.086,0.064,0.96006,59.07861,3,1
5.8,626.60577,0.06511,0.97669,59.50785,3,1
5.9,630.97046,0.06622,0.99331,59.92236,3,1
6,635.06604,0.06733,1.00994,60.31131,3,1
6.1,638.82611,0.06845,1.02675,60.6684,3,1
6.2,642.32996,0.06956,1.04337,61.00115,3,1
6.3,645.36633,0.07066,1.05987,61.28951,3,1
6.4,648.5567,0.07178,1.07675,61.5925,3,1
6.5,651.15417,0.07289,1.09337,61.83918,3,1
6.6,653.56964,0.074,1.11,62.06857,3,1
6.7,655.55444,0.0751,1.12656,62.25706,3,1
6.8,657.68927,0.07622,1.14337,62.4598,3,1
6.9,659.35718,0.07734,1.16012,62.6182,3,1
7,660.53131,0.07844,1.17662,62.72971,3,1
7.1,661.82178,0.07955,1.19325,62.85226,3,1
7.2,662.95831,0.08067,1.21012,62.9602,3,1
7.3,663.54901,0.08178,1.22669,63.0163,3,1
7.4,664.1839,0.08288,1.24325,63.07659,3,1
7.5,664.46576,0.084,1.26006,63.10336,3,1
7.6,664.32581,0.08512,1.27675,63.09007,3,1
7.7,664.44385,0.08622,1.29337,63.10128,3,1
7.8,663.93854,0.08733,1.30994,63.05329,3,1
7.9,663.57574,0.08845,1.32669,63.01883,3,1
8,663.0802,0.08957,1.3435,62.97177,3,1
8.1,662.1441,0.09067,1.36,62.88287,3,1
8.2,661.19299,0.09176,1.37644,62.79255,3,1
